call_number,timestamp_ns,timestamp_cycles,delta_ns,delta_cycles,violation
509,46225395989271,115412879283700,155,384,0
510,46225395989425,115412879284086,154,386,0
511,46225395989580,115412879284474,155,388,0
512,46225395989734,115412879284856,154,382,0
513,46225395989889,115412879285244,155,388,0
514,46225395990044,115412879285630,155,386,0
515,46225395990199,115412879286016,155,386,0
516,46225395990352,115412879286400,153,384,0
517,46225395990506,115412879286784,154,384,0
518,46225395990659,115412879287168,153,384,0
519,46225395990814,115412879287555,155,387,0
520,46225395990969,115412879287939,155,384,0
521,46225395991123,115412879288323,154,384,0
522,46225395991277,115412879288709,154,386,0
523,46225395991431,115412879289093,154,384,0
524,46225395991585,115412879289477,154,384,0
525,46225395991739,115412879289861,154,384,0
526,46225395991892,115412879290243,153,382,0
527,46225395992048,115412879290633,156,390,0
528,46225395992201,115412879291017,153,384,0
529,46225395992356,115412879291403,155,386,0
530,46225395992510,115412879291787,154,384,0
531,46225395992666,115412879292177,156,390,0
532,46225395992820,115412879292560,154,383,0
533,46225395992975,115412879292948,155,388,0
534,46225395993132,115412879293340,157,392,0
535,46225395993285,115412879293724,153,384,0
536,46225395993440,115412879294108,155,384,0
537,46225395993595,115412879294496,155,388,0
538,46225395993749,115412879294880,154,384,0
539,46225395993903,115412879295264,154,384,0
540,46225395994056,115412879295648,153,384,0
541,46225395994210,115412879296032,154,384,0
542,46225395994364,115412879296416,154,384,0
543,46225395994518,115412879296802,154,386,0
544,46225395994673,115412879297184,155,382,0
545,46225395994827,115412879297570,154,386,0
546,46225395994980,115412879297955,153,385,0
547,46225395995135,115412879298341,155,386,0
548,46225395996501,115412879301750,1366,3409,0
549,46225395996707,115412879302264,206,514,0
550,46225395996878,115412879302690,171,426,0
551,46225395997039,115412879303093,161,403,0
552,46225395997200,115412879303491,161,398,0
553,46225395997359,115412879303889,159,398,0
554,46225395997522,115412879304293,163,404,0
555,46225395997680,115412879304689,158,396,0
556,46225395997837,115412879305085,157,396,0
557,46225395997997,115412879305483,160,398,0
558,46225395998155,115412879305877,158,394,0
559,46225395998313,115412879306273,158,396,0
560,46225395998468,115412879306659,155,386,0
561,46225395998623,115412879307045,155,386,0
562,46225395998776,115412879307429,153,384,0
563,46225395998932,115412879307817,156,388,0
564,46225395999086,115412879308203,154,386,0
565,46225395999240,115412879308587,154,384,0
566,46225395999395,115412879308973,155,386,0
567,46225395999550,115412879309359,155,386,0
568,46225395999704,115412879309745,154,386,0
569,46225395999858,115412879310129,154,384,0
570,46225396000013,115412879310515,155,386,0
