measurement_id,time_diff_ns,cycles_diff,zero_diff
475,40,97,0
476,41,99,0
477,40,97,0
478,39,101,0
479,40,98,0
480,40,100,0
481,40,98,0
482,40,98,0
483,39,98,0
484,39,100,0
485,40,99,0
486,39,99,0
487,39,95,0
488,39,101,0
489,38,98,0
490,40,100,0
491,40,98,0
492,39,98,0
493,40,98,0
494,39,98,0
495,40,100,0
496,40,99,0
497,39,99,0
498,40,101,0
499,39,98,0
500,40,98,0
501,40,100,0
502,40,102,0
503,40,97,0
504,41,101,0
505,39,98,0
506,38,98,0
507,40,100,0
508,40,97,0
509,40,99,0
510,39,100,0
511,40,98,0
512,39,96,0
513,41,97,0
514,39,99,0
515,40,101,0
516,39,98,0
517,39,98,0
518,39,96,0
519,40,98,0
520,40,100,0
521,39,97,0
522,40,97,0
523,41,99,0
524,39,99,0
525,40,95,0
526,38,101,0
527,39,98,0
528,39,98,0
529,40,98,0
530,41,98,0
531,39,98,0
532,39,100,0
533,39,99,0
534,39,99,0
535,39,99,0
536,39,97,0
537,40,99,0
538,39,99,0
539,39,99,0
540,41,99,0
541,39,97,0
542,39,99,0
543,40,97,0
544,39,100,0
545,39,101,0
546,40,98,0
547,39,98,0
548,38,98,0
549,39,98,0
550,41,100,0
551,40,97,0
552,39,99,0
553,39,101,0
554,40,97,0
555,39,97,0
556,40,97,0
557,39,99,0
558,39,97,0
559,40,99,0
560,39,99,0
561,40,97,0
562,41,97,0
563,40,97,0
564,38,101,0
565,39,98,0
566,39,97,0
567,40,97,0
568,39,98,0
569,39,100,0
570,39,98,0
571,40,100,0
572,39,99,0
573,39,97,0
574,40,99,0
575,41,99,0
576,41,97,0
577,39,97,0
578,40,97,0
579,40,97,0
580,40,97,0
581,39,99,0
582,39,99,0
583,39,97,0
584,39,99,0
585,39,101,0
586,38,98,0
587,40,95,0
588,40,98,0
589,39,100,0
590,40,98,0
591,40,100,0
592,39,97,0
593,40,99,0
594,40,97,0
595,39,97,0
596,39,99,0
597,38,97,0
598,39,99,0
599,41,99,0
600,39,101,0
601,39,99,0
602,39,99,0
603,39,99,0
604,39,97,0
605,39,99,0
606,39,99,0
607,40,97,0
608,38,97,0
609,39,97,0
610,39,97,0
611,39,97,0
612,39,99,0
613,39,99,0
614,39,97,0
615,39,97,0
616,39,97,0
617,39,97,0
618,38,97,0
619,39,101,0
620,39,96,0
621,39,98,0
622,39,98,0
623,39,98,0
624,40,98,0
625,39,98,0
626,39,98,0
627,39,100,0
628,39,99,0
629,39,97,0
630,40,100,0
631,40,97,0
632,40,97,0
633,40,97,0
634,40,97,0
635,39,101,0
636,40,98,0
637,40,98,0
638,39,98,0
639,38,98,0
640,39,98,0
641,39,100,0
642,39,98,0
643,40,100,0
644,38,97,0
645,40,101,0
646,39,98,0
647,40,100,0
648,39,99,0
649,39,101,0
650,39,99,0
651,41,99,0
652,40,99,0
653,39,98,0
654,39,98,0
655,39,98,0
656,40,100,0
657,40,99,0
658,39,99,0
659,39,99,0
660,40,97,0
661,40,97,0
662,39,97,0
663,40,99,0
664,39,99,0
665,41,101,0
666,39,98,0
667,40,97,0
668,39,95,0
669,39,98,0
670,39,100,0
671,39,98,0
672,40,100,0
673,39,101,0
674,39,98,0
675,40,98,0
676,40,98,0
677,39,100,0
678,46,102,0
679,40,96,0
680,38,95,0
681,40,98,0
682,40,101,0
683,40,98,0
684,39,100,0
685,38,99,0
686,39,98,0
687,39,98,0
688,38,100,0
689,40,97,0
690,40,100,0
691,39,100,0
692,38,99,0
693,40,98,0
694,40,100,0
695,39,98,0
696,39,98,0
697,39,97,0
698,39,99,0
699,39,99,0
700,40,97,0
701,39,101,0
702,40,96,0
703,39,98,0
704,39,98,0
705,38,98,0
706,38,98,0
707,39,100,0
708,40,96,0
709,38,98,0
710,40,98,0
711,39,96,0
712,39,102,0
713,39,97,0
714,38,99,0
715,39,99,0
716,39,99,0
717,41,97,0
718,39,97,0
719,40,97,0
720,40,97,0
721,39,97,0
722,40,101,0
723,40,98,0
724,40,100,0
725,38,97,0
726,40,99,0
727,39,99,0
728,39,97,0
729,40,97,0
730,39,99,0
731,39,97,0
732,39,99,0
733,40,97,0
734,39,99,0
735,39,97,0
736,38,99,0
737,39,99,0
738,40,97,0
739,39,97,0
740,39,99,0
741,38,99,0
742,39,99,0
743,40,97,0
744,38,99,0
745,39,97,0
746,39,99,0
747,39,97,0
748,39,99,0
749,39,99,0
750,39,99,0
751,39,97,0
752,39,99,0
753,39,99,0
754,40,101,0
755,39,97,0
756,39,99,0
757,40,97,0
758,38,101,0
759,40,96,0
760,39,98,0
761,39,96,0
762,39,98,0
763,39,98,0
764,40,98,0
765,39,98,0
766,39,98,0
767,39,98,0
768,39,100,0
769,39,100,0
770,39,99,0
771,39,97,0
772,39,97,0
773,40,99,0
774,40,101,0
775,41,97,0
776,39,99,0
777,39,97,0
778,38,99,0
779,39,95,0
780,40,97,0
781,39,97,0
782,39,101,0
783,38,100,0
784,39,100,0
785,39,99,0
786,40,99,0
787,39,99,0
788,38,97,0
789,40,99,0
